lemma_ipa	past_ipa	celex_freq	lemma_orth	past_orth	past_type	past_type2	notes	lemma_unicode	past_unicode
k æ s k ˈeɪ d	k æ s k ˈeɪ d ɨ d	29	cascade	cascaded	∅ -> ɨ d	regular	NA	kæskˈed	kæskˈedɨd
s ˈɝ k ə m s aɪ z	s ˈɝ k ə m s aɪ z d	29	circumcise	circumcised	∅ -> d	regular	NA	sˈɝkəmsYz	sˈɝkəmsYzd
k ˈaʊ	k ˈaʊ d	29	cow	cowed	∅ -> d	regular	NA	kˈW	kˈWd
d ˈæ l i	d ˈæ l i d	29	dally	dallied	∅ -> d	regular	NA	dˈæli	dˈælid
d ɪ m ˈɝ	d ɪ m ˈɝ d	29	demur	demurred	∅ -> d	regular	NA	dɪmˈɝ	dɪmˈɝd
f ˈoʊ ɹ w ə d	f ˈoʊ ɹ w ə d ɨ d	29	forward	forwarded	∅ -> ɨ d	regular	NA	fˈoɹwəd	fˈoɹwədɨd
g ˈæ b ə l	g ˈæ b ə l d	29	gabble	gabbled	∅ -> d	regular	NA	gˈæbəl	gˈæbəld
g ˈɝ d	g ˈɝ d ɨ d	29	gird	girded	∅ -> ɨ d	regular	NA	gˈɝd	gˈɝdɨd
h ə ɹ ˈæ ŋ	h ə ɹ ˈæ ŋ d	29	harangue	harangued	∅ -> d	regular	NA	həɹˈæŋ	həɹˈæŋd
h ˈi l	h ˈi l d	29	heel	heeled	∅ -> d	regular	NA	hˈil	hˈild
m ə ɹ ˈɔ d	m ə ɹ ˈɔ d ɨ d	29	maraud	marauded	∅ -> ɨ d	regular	NA	məɹˈɔd	məɹˈɔdɨd
n ˈʌ l ɪ f aɪ	n ˈʌ l ɪ f aɪ d	29	nullify	nullified	∅ -> d	regular	NA	nˈʌlɪfY	nˈʌlɪfYd
p ˈɛ p ɚ	p ˈɛ p ɚ d	29	pepper	peppered	∅ -> d	regular	NA	pˈɛpɚ	pˈɛpɚd
ɹ ˈɛ n d	ɹ ˈɛ n d ɨ d	29	rend	rent	∅ -> ɨ d	regular	NA	ɹˈɛnd	ɹˈɛndɨd
s k ˈʌ f ə l	s k ˈʌ f ə l d	29	scuffle	scuffled	∅ -> d	regular	NA	skˈʌfəl	skˈʌfəld
s n ˈʌ b	s n ˈʌ b d	29	snub	snubbed	∅ -> d	regular	NA	snˈʌb	snˈʌbd
s t ˈæ g n eɪ t	s t ˈæ g n eɪ t ɨ d	29	stagnate	stagnated	∅ -> ɨ d	regular	NA	stˈægnet	stˈægnetɨd
t ˈi m	t ˈi m d	29	teem	teemed	∅ -> d	regular	NA	tˈim	tˈimd
v ˈɪ n d ɪ k eɪ t	v ˈɪ n d ɪ k eɪ t ɨ d	29	vindicate	vindicated	∅ -> ɨ d	regular	NA	vˈɪndɪket	vˈɪndɪketɨd
w ˈæ g ə l	w ˈæ g ə l d	29	waggle	waggled	∅ -> d	regular	NA	wˈægəl	wˈægəld
b ɹ ˈi tʃ	b ɹ ˈi tʃ t	28	breach	breached	∅ -> t	regular	NA	bɹˈiC	bɹˈiCt
k ˈeɪ ɹ ɪ k ə tʃ ɚ	k ˈeɪ ɹ ɪ k ə tʃ ɚ d	28	caricature	caricatured	∅ -> d	regular	NA	kˈeɹɪkəCɚ	kˈeɹɪkəCɚd
d ˈɛ l v	d ˈɛ l v d	28	delve	delved	∅ -> d	regular	NA	dˈɛlv	dˈɛlvd
ɪ m b ˈɛ l ɪ ʃ	ɪ m b ˈɛ l ɪ ʃ t	28	embellish	embellished	∅ -> t	regular	NA	ɪmbˈɛlɪʃ	ɪmbˈɛlɪʃt
ɪ p ˈɪ t ə m aɪ z	ɪ p ˈɪ t ə m aɪ z d	28	epitomize	epitomized	∅ -> d	regular	NA	ɪpˈɪtəmYz	ɪpˈɪtəmYzd
f ɛ s t ˈu n	f ɛ s t ˈu n d	28	festoon	festooned	∅ -> d	regular	NA	fɛstˈun	fɛstˈund
g l ˈoʊ t	g l ˈoʊ t ɨ d	28	gloat	gloated	∅ -> ɨ d	regular	NA	glˈot	glˈotɨd
g ˈʌ m	g ˈʌ m d	28	gum	gummed	∅ -> d	regular	NA	gˈʌm	gˈʌmd
ɪ n d ɪ v ˈɪ dʒ u ə l aɪ z	ɪ n d ɪ v ˈɪ dʒ u ə l aɪ z d	28	individualize	individualized	∅ -> d	regular	NA	ɪndɪvˈɪJuəlYz	ɪndɪvˈɪJuəlYzd
ɪ n t ɚ s ˈɛ k t	ɪ n t ɚ s ˈɛ k t ɨ d	28	intersect	intersected	∅ -> ɨ d	regular	NA	ɪntɚsˈɛkt	ɪntɚsˈɛktɨd
dʒ ˈɛ t ɪ s ə n	dʒ ˈɛ t ɪ s ə n d	28	jettison	jettisoned	∅ -> d	regular	NA	Jˈɛtɪsən	Jˈɛtɪsənd
l ˈɔ g	l ˈɔ g d	28	log	logged	∅ -> d	regular	NA	lˈɔg	lˈɔgd
l ˈa p	l ˈa p t	28	lop	lopped	∅ -> t	regular	NA	lˈap	lˈapt
m i ˈæ n d ɚ	m i ˈæ n d ɚ d	28	meander	meandered	∅ -> d	regular	NA	miˈændɚ	miˈændɚd
m ə l ˈɛ s t	m ə l ˈɛ s t ɨ d	28	molest	molested	∅ -> ɨ d	regular	NA	məlˈɛst	məlˈɛstɨd
ə k ˈeɪ ʒ ə n	ə k ˈeɪ ʒ ə n d	28	occasion	occasioned	∅ -> d	regular	NA	əkˈeʒən	əkˈeʒənd
p ˈi p ə l	p ˈi p ə l d	28	people	peopled	∅ -> d	regular	NA	pˈipəl	pˈipəld
p ɹ ˈaɪ m	p ɹ ˈaɪ m d	28	prime	primed	∅ -> d	regular	NA	pɹˈYm	pɹˈYmd
p ˈʌ ŋ k tʃ ɚ	p ˈʌ ŋ k tʃ ɚ d	28	puncture	punctured	∅ -> d	regular	NA	pˈʌŋkCɚ	pˈʌŋkCɚd
k w ˈa d ɹ ʊ p ə l	k w ˈa d ɹ ʊ p ə l d	28	quadruple	quadrupled	∅ -> d	regular	NA	kwˈadɹʊpəl	kwˈadɹʊpəld
ɹ ɪ t ˈa ɹ d	ɹ ɪ t ˈa ɹ d ɨ d	28	retard	retarded	∅ -> ɨ d	regular	NA	ɹɪtˈaɹd	ɹɪtˈaɹdɨd
ʃ ˈaɪ n	ʃ ˈaɪ n d	28	shine	shined	∅ -> d	regular	NA	ʃˈYn	ʃˈYnd
s ˈaɪ d	s ˈaɪ d ɨ d	28	side	sided	∅ -> ɨ d	regular	NA	sˈYd	sˈYdɨd
s p ˈi ɹ	s p ˈi ɹ d	28	spear	speared	∅ -> d	regular	NA	spˈiɹ	spˈiɹd
v ˈeɪ l	v ˈeɪ l d	28	veil	veiled	∅ -> d	regular	NA	vˈel	vˈeld
w ˈɪ ŋ	w ˈɪ ŋ d	28	wing	winged	∅ -> d	regular	NA	wˈɪŋ	wˈɪŋd
ɹ ˈæ ŋ g ə l	ɹ ˈæ ŋ g ə l d	28	wrangle	wrangled	∅ -> d	regular	NA	ɹˈæŋgəl	ɹˈæŋgəld
ˈæ k s ɛ n t	ˈæ k s ɛ n t ɨ d	27	accent	accented	∅ -> ɨ d	regular	NA	ˈæksɛnt	ˈæksɛntɨd
b ˈi d	b ˈi d ɨ d	27	bead	beaded	∅ -> ɨ d	regular	NA	bˈid	bˈidɨd
b ˈɛ l t	b ˈɛ l t ɨ d	27	belt	belted	∅ -> ɨ d	regular	NA	bˈɛlt	bˈɛltɨd
b l ˈɪ s t ɚ	b l ˈɪ s t ɚ d	27	blister	blistered	∅ -> d	regular	NA	blˈɪstɚ	blˈɪstɚd
b l ˈɪ t s	b l ˈɪ t s t	27	blitz	blitzed	∅ -> t	regular	NA	blˈɪts	blˈɪtst
k ˈeɪ n	k ˈeɪ n d	27	cane	caned	∅ -> d	regular	NA	kˈen	kˈend
tʃ ˈæ n s	tʃ ˈæ n s t	27	chance	chanced	∅ -> t	regular	NA	Cˈæns	Cˈænst
k l ˈɔɪ	k l ˈɔɪ d	27	cloy	cloyed	∅ -> d	regular	NA	klˈO	klˈOd
k ˈɝ t ə n	k ˈɝ t ə n d	27	curtain	curtained	∅ -> d	regular	NA	kˈɝtən	kˈɝtənd
f ˈɔɪ l	f ˈɔɪ l d	27	foil	foiled	∅ -> d	regular	NA	fˈOl	fˈOld
ˈɪ n oʊ v eɪ t	ˈɪ n oʊ v eɪ t ɨ d	27	innovate	innovated	∅ -> ɨ d	regular	NA	ˈɪnovet	ˈɪnovetɨd
ˈɪ n ʌ n d eɪ t	ˈɪ n ʌ n d eɪ t ɨ d	27	inundate	inundated	∅ -> ɨ d	regular	NA	ˈɪnʌndet	ˈɪnʌndetɨd
l ˈeɪ d ə l	l ˈeɪ d ə l d	27	ladle	ladled	∅ -> d	regular	NA	lˈedəl	lˈedəld
l ˈeɪ ɚ	l ˈeɪ ɚ d	27	layer	layered	∅ -> d	regular	NA	lˈeɚ	lˈeɚd
l ɪ dʒ ˈɪ t ɪ m aɪ z	l ɪ dʒ ˈɪ t ɪ m aɪ z d	27	legitimize	legitimized	∅ -> d	regular	NA	lɪJˈɪtɪmYz	lɪJˈɪtɪmYzd
l ˈu b ɹ ɪ k eɪ t	l ˈu b ɹ ɪ k eɪ t ɨ d	27	lubricate	lubricated	∅ -> ɨ d	regular	NA	lˈubɹɪket	lˈubɹɪketɨd
n ˈoʊ z	n ˈoʊ z d	27	nose	nosed	∅ -> d	regular	NA	nˈoz	nˈozd
p ˈeɪ n	p ˈeɪ n d	27	pain	pained	∅ -> d	regular	NA	pˈen	pˈend
p ˈæ n d ɚ	p ˈæ n d ɚ d	27	pander	pandered	∅ -> d	regular	NA	pˈændɚ	pˈændɚd
p ˈɔ	p ˈɔ d	27	paw	pawed	∅ -> d	regular	NA	pˈɔ	pˈɔd
p ˈɔ n	p ˈɔ n d	27	pawn	pawned	∅ -> d	regular	NA	pˈɔn	pˈɔnd
k w ˈa n t ɪ f aɪ	k w ˈa n t ɪ f aɪ d	27	quantify	quantified	∅ -> d	regular	NA	kwˈantɪfY	kwˈantɪfYd
ɹ ˈɛ v	ɹ ˈɛ v d	27	rev	revved	∅ -> d	regular	NA	ɹˈɛv	ɹˈɛvd
ɹ ɪ v ˈoʊ k	ɹ ɪ v ˈoʊ k t	27	revoke	revoked	∅ -> t	regular	NA	ɹɪvˈok	ɹɪvˈokt
ɹ ˈʌ f	ɹ ˈʌ f t	27	rough	roughed	∅ -> t	regular	NA	ɹˈʌf	ɹˈʌft
s k ˈɔ l d	s k ˈɔ l d ɨ d	27	scald	scalded	∅ -> ɨ d	regular	NA	skˈɔld	skˈɔldɨd
s ˈaɪ f ə n	s ˈaɪ f ə n d	27	siphon	siphoned	∅ -> d	regular	NA	sˈYfən	sˈYfənd
s k ˈɪ t ɚ	s k ˈɪ t ɚ d	27	skitter	skittered	∅ -> d	regular	NA	skˈɪtɚ	skˈɪtɚd
s k ˈʌ l k	s k ˈʌ l k t	27	skulk	skulked	∅ -> t	regular	NA	skˈʌlk	skˈʌlkt
s k w ˈa b ə l	s k w ˈa b ə l d	27	squabble	squabbled	∅ -> d	regular	NA	skwˈabəl	skwˈabəld
s ə b s t ˈæ n ʃ i eɪ t	s ə b s t ˈæ n ʃ i eɪ t ɨ d	27	substantiate	substantiated	∅ -> ɨ d	regular	NA	səbstˈænʃiet	səbstˈænʃietɨd
t ˈoʊ t	t ˈoʊ t ɨ d	27	tote	toted	∅ -> ɨ d	regular	NA	tˈot	tˈotɨd
w ˈɔ l s	w ˈɔ l s t	27	waltz	waltzed	∅ -> t	regular	NA	wˈɔls	wˈɔlst
w ˈɝ m	w ˈɝ m d	27	worm	wormed	∅ -> d	regular	NA	wˈɝm	wˈɝmd
b ˈu	b ˈu d	26	boo	booed	∅ -> d	regular	NA	bˈu	bˈud
b ˈʌ f ɪ t	b ˈʌ f ɪ t ɨ d	26	buffet	buffeted	∅ -> ɨ d	regular	NA	bˈʌfɪt	bˈʌfɪtɨd
s ˈɛ n ʃ ɚ	s ˈɛ n ʃ ɚ d	26	censure	censured	∅ -> d	regular	NA	sˈɛnʃɚ	sˈɛnʃɚd
k l ˈʌ b	k l ˈʌ b d	26	club	clubbed	∅ -> d	regular	NA	klˈʌb	klˈʌbd
k ə n v ˈʌ l s	k ə n v ˈʌ l s t	26	convulse	convulsed	∅ -> t	regular	NA	kənvˈʌls	kənvˈʌlst
k ˈoʊ ɹ s	k ˈoʊ ɹ s t	26	course	coursed	∅ -> t	regular	NA	kˈoɹs	kˈoɹst
k ɹ ˈɪ ŋ k ə l	k ɹ ˈɪ ŋ k ə l d	26	crinkle	crinkled	∅ -> d	regular	NA	kɹˈɪŋkəl	kɹˈɪŋkəld
d ɪ s p ˈi ɹ ɪ t	d ɪ s p ˈi ɹ ɪ t ɨ d	26	dispirit	dispirited	∅ -> ɨ d	regular	NA	dɪspˈiɹɪt	dɪspˈiɹɪtɨd
f ə t ˈi g	f ə t ˈi g d	26	fatigue	fatigued	∅ -> d	regular	NA	fətˈig	fətˈigd
f l ˈeɪ m	f l ˈeɪ m d	26	flame	flamed	∅ -> d	regular	NA	flˈem	flˈemd
f l ˈeɪ	f l ˈeɪ d	26	flay	flayed	∅ -> d	regular	NA	flˈe	flˈed
f ɹ ˈɪ s k	f ɹ ˈɪ s k t	26	frisk	frisked	∅ -> t	regular	NA	fɹˈɪsk	fɹˈɪskt
f ɹ ˈɔ θ	f ɹ ˈɔ θ t	26	froth	frothed	∅ -> t	regular	NA	fɹˈɔθ	fɹˈɔθt
g ˈʌ z ə l	g ˈʌ z ə l d	26	guzzle	guzzled	∅ -> d	regular	NA	gˈʌzəl	gˈʌzəld
h ˈɛ k ə l	h ˈɛ k ə l d	26	heckle	heckled	∅ -> d	regular	NA	hˈɛkəl	hˈɛkəld
ˈaɪ t ə m aɪ z	ˈaɪ t ə m aɪ z d	26	itemize	itemized	∅ -> d	regular	NA	ˈYtəmYz	ˈYtəmYzd
m ə l ˈaɪ n	m ə l ˈaɪ n d	26	malign	maligned	∅ -> d	regular	NA	məlˈYn	məlˈYnd
m ə ɹ ˈu n	m ə ɹ ˈu n d	26	maroon	marooned	∅ -> d	regular	NA	məɹˈun	məɹˈund
m ˈa ɹ t ɚ	m ˈa ɹ t ɚ d	26	martyr	martyred	∅ -> d	regular	NA	mˈaɹtɚ	mˈaɹtɚd
m ˈɛ n ə s	m ˈɛ n ə s t	26	menace	menaced	∅ -> t	regular	NA	mˈɛnəs	mˈɛnəst
m ˈɛ n s t ɹ u eɪ t	m ˈɛ n s t ɹ u eɪ t ɨ d	26	menstruate	menstruated	∅ -> ɨ d	regular	NA	mˈɛnstɹuet	mˈɛnstɹuetɨd
p ˈi s	p ˈi s t	26	piece	pieced	∅ -> t	regular	NA	pˈis	pˈist
p ˈa t ɚ	p ˈa t ɚ d	26	potter	pottered	∅ -> d	regular	NA	pˈatɚ	pˈatɚd
p ɹ i ˈɛ m p t	p ɹ i ˈɛ m p t ɨ d	26	pre-empt	pre-empted	∅ -> ɨ d	regular	NA	pɹiˈɛmpt	pɹiˈɛmptɨd
k w ˈoʊ ɹ i	k w ˈoʊ ɹ i d	26	quarry	quarried	∅ -> d	regular	NA	kwˈoɹi	kwˈoɹid
ɹ ɪ l ˈɛ n t	ɹ ɪ l ˈɛ n t ɨ d	26	relent	relented	∅ -> ɨ d	regular	NA	ɹɪlˈɛnt	ɹɪlˈɛntɨd
ɹ ˈu ʒ	ɹ ˈu ʒ d	26	rouge	rouged	∅ -> d	regular	NA	ɹˈuʒ	ɹˈuʒd
s ˈi m	s ˈi m d	26	seam	seamed	∅ -> d	regular	NA	sˈim	sˈimd
s t ˈɪ g m ə t aɪ z	s t ˈɪ g m ə t aɪ z d	26	stigmatize	stigmatized	∅ -> d	regular	NA	stˈɪgmətYz	stˈɪgmətYzd
s t ˈʌ l t ɪ f aɪ	s t ˈʌ l t ɪ f aɪ d	26	stultify	stultified	∅ -> d	regular	NA	stˈʌltɪfY	stˈʌltɪfYd
s w ˈu n	s w ˈu n d	26	swoon	swooned	∅ -> d	regular	NA	swˈun	swˈund
t ˈi	t ˈi d	26	tee	teed	∅ -> d	regular	NA	tˈi	tˈid
t ɹ æ n s k ɹ ˈaɪ b	t ɹ æ n s k ɹ ˈaɪ b d	26	transcribe	transcribed	∅ -> d	regular	NA	tɹænskɹˈYb	tɹænskɹˈYbd
v ˈa ɹ n ɪ ʃ	v ˈa ɹ n ɪ ʃ t	26	varnish	varnished	∅ -> t	regular	NA	vˈaɹnɪʃ	vˈaɹnɪʃt
v ˈɛ n t ɪ l eɪ t	v ˈɛ n t ɪ l eɪ t ɨ d	26	ventilate	ventilated	∅ -> ɨ d	regular	NA	vˈɛntɪlet	vˈɛntɪletɨd
w ˈeɪ v	w ˈeɪ v d	26	waive	waived	∅ -> d	regular	NA	wˈev	wˈevd
w ˈʊ l f	w ˈʊ l f t	26	wolf	wolfed	∅ -> t	regular	NA	wˈʊlf	wˈʊlft
ˈæ dʒ ɪ t eɪ t	ˈæ dʒ ɪ t eɪ t ɨ d	25	agitate	agitated	∅ -> ɨ d	regular	NA	ˈæJɪtet	ˈæJɪtetɨd
ˈeɪ ɹ	ˈeɪ ɹ d	25	air	aired	∅ -> d	regular	NA	ˈeɹ	ˈeɹd
b ˈæ dʒ ɚ	b ˈæ dʒ ɚ d	25	badger	badgered	∅ -> d	regular	NA	bˈæJɚ	bˈæJɚd
b ˈa ɹ t ɚ	b ˈa ɹ t ɚ d	25	barter	bartered	∅ -> d	regular	NA	bˈaɹtɚ	bˈaɹtɚd
b ɪ l ˈi g ɚ	b ɪ l ˈi g ɚ d	25	beleaguer	beleaguered	∅ -> d	regular	NA	bɪlˈigɚ	bɪlˈigɚd
k ə v ˈoʊ ɹ t	k ə v ˈoʊ ɹ t ɨ d	25	cavort	cavorted	∅ -> ɨ d	regular	NA	kəvˈoɹt	kəvˈoɹtɨd
tʃ ˈæ p	tʃ ˈæ p t	25	chap	chapped	∅ -> t	regular	NA	Cˈæp	Cˈæpt
tʃ ˈeɪ s ə n	tʃ ˈeɪ s ə n d	25	chasten	chastened	∅ -> d	regular	NA	Cˈesən	Cˈesənd
k l ˈʌ k	k l ˈʌ k t	25	cluck	clucked	∅ -> t	regular	NA	klˈʌk	klˈʌkt
k ˈoʊ s t	k ˈoʊ s t ɨ d	25	coast	coasted	∅ -> ɨ d	regular	NA	kˈost	kˈostɨd
k ə l ˈɛ k t ɪ v aɪ z	k ə l ˈɛ k t ɪ v aɪ z d	25	collectivize	collectivized	∅ -> d	regular	NA	kəlˈɛktɪvYz	kəlˈɛktɪvYzd
k ə n s k ɹ ˈɪ p t	k ə n s k ɹ ˈɪ p t ɨ d	25	conscript	conscripted	∅ -> ɨ d	regular	NA	kənskɹˈɪpt	kənskɹˈɪptɨd
k a n t ɹ ə v ˈi n	k a n t ɹ ə v ˈi n d	25	contravene	contravened	∅ -> d	regular	NA	kantɹəvˈin	kantɹəvˈind
d ɪ l ˈɪ n i eɪ t	d ɪ l ˈɪ n i eɪ t ɨ d	25	delineate	delineated	∅ -> ɨ d	regular	NA	dɪlˈɪniet	dɪlˈɪnietɨd
d ɹ ˈɔ l	d ɹ ˈɔ l d	25	drawl	drawled	∅ -> d	regular	NA	dɹˈɔl	dɹˈɔld
ˈɛ d i	ˈɛ d i d	25	eddy	eddied	∅ -> d	regular	NA	ˈɛdi	ˈɛdid
ɪ m ˈeɪ ʃ i eɪ t	ɪ m ˈeɪ ʃ i eɪ t ɨ d	25	emaciate	emaciated	∅ -> ɨ d	regular	NA	ɪmˈeʃiet	ɪmˈeʃietɨd
ɪ n s k ˈa n s	ɪ n s k ˈa n s t	25	ensconce	ensconced	∅ -> t	regular	NA	ɪnskˈans	ɪnskˈanst
f ɹ ˈi k	f ɹ ˈi k t	25	freak	freaked	∅ -> t	regular	NA	fɹˈik	fɹˈikt
ɪ n t ˈɝ n ə l aɪ z	ɪ n t ˈɝ n ə l aɪ z d	25	internalize	internalized	∅ -> d	regular	NA	ɪntˈɝnəlYz	ɪntˈɝnəlYzd
l ˈɛ v ɚ	l ˈɛ v ɚ d	25	lever	levered	∅ -> d	regular	NA	lˈɛvɚ	lˈɛvɚd
l ˈa b	l ˈa b d	25	lob	lobbed	∅ -> d	regular	NA	lˈab	lˈabd
p ˈeɪ p ɚ	p ˈeɪ p ɚ d	25	paper	papered	∅ -> d	regular	NA	pˈepɚ	pˈepɚd
p ˈɛ d ə l	p ˈɛ d ə l d	25	peddle	peddled	∅ -> d	regular	NA	pˈɛdəl	pˈɛdəld
p j ʊ ɹ ˈeɪ	p j ʊ ɹ ˈeɪ d	25	puree	pureed	∅ -> d	regular	NA	pjʊɹˈe	pjʊɹˈed
k w ˈɛ n tʃ	k w ˈɛ n tʃ t	25	quench	quenched	∅ -> t	regular	NA	kwˈɛnC	kwˈɛnCt
k w ˈɛ s t	k w ˈɛ s t ɨ d	25	quest	quested	∅ -> ɨ d	regular	NA	kwˈɛst	kwˈɛstɨd
ɹ ˈu f	ɹ ˈu f t	25	roof	roofed	∅ -> t	regular	NA	ɹˈuf	ɹˈuft
s k ɹ ˈaʊ n dʒ	s k ɹ ˈaʊ n dʒ d	25	scrounge	scrounged	∅ -> d	regular	NA	skɹˈWnJ	skɹˈWnJd
s k ˈʌ d	s k ˈʌ d ɨ d	25	scud	scudded	∅ -> ɨ d	regular	NA	skˈʌd	skˈʌdɨd
s ˈi d	s ˈi d ɨ d	25	seed	seeded	∅ -> ɨ d	regular	NA	sˈid	sˈidɨd
ʃ ˈʊ ʃ	ʃ ˈʊ ʃ t	25	shush	shushed	∅ -> t	regular	NA	ʃˈʊʃ	ʃˈʊʃt
s n ˈaɪ p	s n ˈaɪ p t	25	snipe	sniped	∅ -> t	regular	NA	snˈYp	snˈYpt
s p ɹ ɛ d ˈi g ə l	s p ɹ ɛ d ˈi g ə l d	25	spreadeagle	spreadeagled	∅ -> d	regular	NA	spɹɛdˈigəl	spɹɛdˈigəld
v ˈaʊ tʃ s eɪ f	v ˈaʊ tʃ s eɪ f t	25	vouchsafe	vouchsafed	∅ -> t	regular	NA	vˈWCsef	vˈWCseft
tʃ ˈa m p	tʃ ˈa m p t	24	chomp	chomped	∅ -> t	regular	NA	Cˈamp	Cˈampt
k ˈɝ t s i	k ˈɝ t s i d	24	curtsy	curtsied	∅ -> d	regular	NA	kˈɝtsi	kˈɝtsid
d ɪ z ˈɪ s t	d ɪ z ˈɪ s t ɨ d	24	desist	desisted	∅ -> ɨ d	regular	NA	dɪzˈɪst	dɪzˈɪstɨd
d ˈɪ tʃ	d ˈɪ tʃ t	24	ditch	ditched	∅ -> t	regular	NA	dˈɪC	dˈɪCt
d ˈa k t ɚ	d ˈa k t ɚ d	24	doctor	doctored	∅ -> d	regular	NA	dˈaktɚ	dˈaktɚd
d ˈu d ə l	d ˈu d ə l d	24	doodle	doodled	∅ -> d	regular	NA	dˈudəl	dˈudəld
d ɹ ˈɛ dʒ	d ɹ ˈɛ dʒ d	24	dredge	dredged	∅ -> d	regular	NA	dɹˈɛJ	dɹˈɛJd
d ˈu ə l	d ˈu ə l d	24	duel	duelled	∅ -> d	regular	NA	dˈuəl	dˈuəld
ɪ n ˈu m ə ɹ eɪ t	ɪ n ˈu m ə ɹ eɪ t ɨ d	24	enumerate	enumerated	∅ -> ɨ d	regular	NA	ɪnˈuməɹet	ɪnˈuməɹetɨd
ɪ k s t ˈɝ n ə l aɪ z	ɪ k s t ˈɝ n ə l aɪ z d	24	externalize	externalized	∅ -> d	regular	NA	ɪkstˈɝnəlYz	ɪkstˈɝnəlYzd
f ˈæ b ɹ ɪ k eɪ t	f ˈæ b ɹ ɪ k eɪ t ɨ d	24	fabricate	fabricated	∅ -> ɨ d	regular	NA	fˈæbɹɪket	fˈæbɹɪketɨd
f l ˈaʊ t	f l ˈaʊ t ɨ d	24	flout	flouted	∅ -> ɨ d	regular	NA	flˈWt	flˈWtɨd
f ˈɝ ð ɚ	f ˈɝ ð ɚ d	24	further	furthered	∅ -> d	regular	NA	fˈɝðɚ	fˈɝðɚd
dʒ ˈɝ m ə n eɪ t	dʒ ˈɝ m ə n eɪ t ɨ d	24	germinate	germinated	∅ -> ɨ d	regular	NA	Jˈɝmənet	Jˈɝmənetɨd
g l ˈɔ s	g l ˈɔ s t	24	gloss	glossed	∅ -> t	regular	NA	glˈɔs	glˈɔst
h ˈʌ m b ə l	h ˈʌ m b ə l d	24	humble	humbled	∅ -> d	regular	NA	hˈʌmbəl	hˈʌmbəld
m ˈɛ ʃ	m ˈɛ ʃ t	24	mesh	meshed	∅ -> t	regular	NA	mˈɛʃ	mˈɛʃt
m ˈʌ l	m ˈʌ l d	24	mull	mulled	∅ -> d	regular	NA	mˈʌl	mˈʌld
p ˈaɪ n	p ˈaɪ n d	24	pine	pined	∅ -> d	regular	NA	pˈYn	pˈYnd
p ˈɪ v ə t	p ˈɪ v ə t ɨ d	24	pivot	pivoted	∅ -> ɨ d	regular	NA	pˈɪvət	pˈɪvətɨd
p l ˈi t	p l ˈi t ɨ d	24	pleat	pleated	∅ -> ɨ d	regular	NA	plˈit	plˈitɨd
ɹ ɪ g ɹ ˈɛ s	ɹ ɪ g ɹ ˈɛ s t	24	regress	regressed	∅ -> t	regular	NA	ɹɪgɹˈɛs	ɹɪgɹˈɛst
ɹ ˈaɪ f ə l	ɹ ˈaɪ f ə l d	24	rifle	rifled	∅ -> d	regular	NA	ɹˈYfəl	ɹˈYfəld
ʃ ɹ ˈɪ l	ʃ ɹ ˈɪ l d	24	shrill	shrilled	∅ -> d	regular	NA	ʃɹˈɪl	ʃɹˈɪld
s n ˈɪ v ə l	s n ˈɪ v ə l d	24	snivel	snivelled	∅ -> d	regular	NA	snˈɪvəl	snˈɪvəld
s ˈa d	s ˈa d ɨ d	24	sod	sodded	∅ -> ɨ d	regular	NA	sˈad	sˈadɨd
s p ˈeɪ	s p ˈeɪ d	24	spay	spayed	∅ -> d	regular	NA	spˈe	spˈed
s t ˈɪ l	s t ˈɪ l d	24	still	stilled	∅ -> d	regular	NA	stˈɪl	stˈɪld
s ˈɪ ŋ k ɹ ə n aɪ z	s ˈɪ ŋ k ɹ ə n aɪ z d	24	synchronize	synchronized	∅ -> d	regular	NA	sˈɪŋkɹənYz	sˈɪŋkɹənYzd
t ˈʌ f ə n	t ˈʌ f ə n d	24	toughen	toughened	∅ -> d	regular	NA	tˈʌfən	tˈʌfənd
t ˈʌ n ə l	t ˈʌ n ə l d	24	tunnel	tunnelled	∅ -> d	regular	NA	tˈʌnəl	tˈʌnəld
t w ˈæ ŋ	t w ˈæ ŋ d	24	twang	twanged	∅ -> d	regular	NA	twˈæŋ	twˈæŋd
w ˈi ɹ i	w ˈi ɹ i d	24	weary	wearied	∅ -> d	regular	NA	wˈiɹi	wˈiɹid
w ˈɪ g ə l	w ˈɪ g ə l d	24	wiggle	wiggled	∅ -> d	regular	NA	wˈɪgəl	wˈɪgəld
ɹ ˈi k	ɹ ˈi k t	24	wreak	wreaked	∅ -> t	regular	NA	ɹˈik	ɹˈikt
æ b s ˈɛ n t	æ b s ˈɛ n t ɨ d	23	absent	absented	∅ -> ɨ d	regular	NA	æbsˈɛnt	æbsˈɛntɨd
ə k ˈʌ s t ə m	ə k ˈʌ s t ə m d	23	accustom	accustomed	∅ -> d	regular	NA	əkˈʌstəm	əkˈʌstəmd
b ˈæ n d i	b ˈæ n d i d	23	bandy	bandied	∅ -> d	regular	NA	bˈændi	bˈændid
b ɪ g ˈaɪ l	b ɪ g ˈaɪ l d	23	beguile	beguiled	∅ -> d	regular	NA	bɪgˈYl	bɪgˈYld
b ˈɪ k ɚ	b ˈɪ k ɚ d	23	bicker	bickered	∅ -> d	regular	NA	bˈɪkɚ	bˈɪkɚd
