# Google doc
lemma_ipa	past_ipa	celex_freq	lemma_orth	past_orth	past_type	past_type2	notes	lemma_orig	past_orig
s p ˈæ ŋ g ə l	s p ˈæ ŋ g ə l d	21	spangle	spangled	∅ -> d	regular	NA	spČQNgŤl	spČQNgŤld
s w ˈæ g ɚ	s w ˈæ g ɚ d	21	swagger	swaggered	∅ -> d	regular	NA	swČQgŐ	swČQgŐd
s w ˈɪ g	s w ˈɪ g d	21	swig	swigged	∅ -> d	regular	NA	swČIg	swČIgd
t ˈɪ t ɚ	t ˈɪ t ɚ d	21	titter	tittered	∅ -> d	regular	NA	tČItŐ	tČItŐd
t ɹ ˈʌ s	t ɹ ˈʌ s t	21	truss	trussed	∅ -> t	regular	NA	trČĂs	trČĂst
ʌ p s t ˈeɪ dʒ	ʌ p s t ˈeɪ dʒ d	21	upstage	upstaged	∅ -> d	regular	NA	ĂpstČeJ	ĂpstČeJd
w ˈɛ t	w ˈɛ t ə d	21	whet	whetted	∅ -> ɪ d	regular	NA	wČEt	wČEtŤd
ɹ ˈɔ ŋ	ɹ ˈɔ ŋ d	21	wrong	wronged	∅ -> d	regular	NA	rČN	rČNd
j ˈɛ l p	j ˈɛ l p t	21	yelp	yelped	∅ -> t	regular	NA	jČElp	jČElpt
ə n ˈɛ s θ ə t aɪ z	ə n ˈɛ s θ ə t aɪ z d	20	anaesthetize	anaesthetized	∅ -> d	regular	NA	ŤnČEsTŤtYz	ŤnČEsTŤtYzd
æ n t ˈæ g ə n aɪ z	æ n t ˈæ g ə n aɪ z d	20	antagonize	antagonized	∅ -> d	regular	NA	QntČQgŤnYz	QntČQgŤnYzd
b ɪ g ɹ ˈʌ dʒ	b ɪ g ɹ ˈʌ dʒ d	20	begrudge	begrudged	∅ -> d	regular	NA	bIgrČĂJ	bIgrČĂJd
b ˈu z	b ˈu z d	20	booze	boozed	∅ -> d	regular	NA	bČuz	bČuzd
b ɹ ˈa n z	b ɹ ˈa n z d	20	bronze	bronzed	∅ -> d	regular	NA	brČanz	brČanzd
k ˈoʊ ɹ ə s	k ˈoʊ ɹ ə s t	20	chorus	chorused	∅ -> t	regular	NA	kČorŤs	kČorŤst
k l ˈɔɪ s t ɚ	k l ˈɔɪ s t ɚ d	20	cloister	cloistered	∅ -> d	regular	NA	klČOstŐ	klČOstŐd
k ˈa n s ə m eɪ t	k ˈa n s ə m eɪ t ə d	20	consummate	consummated	∅ -> ɪ d	regular	NA	kČansŤmet	kČansŤmetŤd
d i k ə m p ˈoʊ z	d i k ə m p ˈoʊ z d	20	decompose	decomposed	∅ -> d	regular	NA	dikŤmpČoz	dikŤmpČozd
d ˈɪ m p ə l	d ˈɪ m p ə l d	20	dimple	dimpled	∅ -> d	regular	NA	dČImpŤl	dČImpŤld
d ɪ s ˈeɪ b ə l	d ɪ s ˈeɪ b ə l d	20	disable	disabled	∅ -> d	regular	NA	dIsČebŤl	dIsČebŤld
d ɪ s g ˈoʊ ɹ dʒ	d ɪ s g ˈoʊ ɹ dʒ d	20	disgorge	disgorged	∅ -> d	regular	NA	dIsgČorJ	dIsgČorJd
d ɪ s ɪ n h ˈeɪ ɹ ɪ t	d ɪ s ɪ n h ˈeɪ ɹ ɪ t ə d	20	disinherit	disinherited	∅ -> ɪ d	regular	NA	dIsInhČerIt	dIsInhČerItŤd
d ɹ ˈaʊ z	d ɹ ˈaʊ z d	20	drowse	drowsed	∅ -> d	regular	NA	drČWz	drČWzd
ɪ l ˈu s ɪ d eɪ t	ɪ l ˈu s ɪ d eɪ t ə d	20	elucidate	elucidated	∅ -> ɪ d	regular	NA	IlČusIdet	IlČusIdetŤd
ɪ m b ˈoʊ l d ə n	ɪ m b ˈoʊ l d ə n d	20	embolden	emboldened	∅ -> d	regular	NA	ImbČoldŤn	ImbČoldŤnd
f ˈɔ n	f ˈɔ n d	20	fawn	fawned	∅ -> d	regular	NA	fČn	fČnd
f ˈɪ k s eɪ t	f ˈɪ k s eɪ t ə d	20	fixate	fixated	∅ -> ɪ d	regular	NA	fČIkset	fČIksetŤd
h ˈæ n d k ʌ f	h ˈæ n d k ʌ f t	20	handcuff	handcuffed	∅ -> t	regular	NA	hČQndkĂf	hČQndkĂft
h a m ˈa dʒ ə n aɪ z	h a m ˈa dʒ ə n aɪ z d	20	homogenize	homogenized	∅ -> d	regular	NA	hamČaJŤnYz	hamČaJŤnYzd
ɪ l t ɹ ˈi t	ɪ l t ɹ ˈi t ə d	20	ill-treat	ill-treated	∅ -> ɪ d	regular	NA	IltrČit	IltrČitŤd
ɪ m b ˈaɪ b	ɪ m b ˈaɪ b d	20	imbibe	imbibed	∅ -> d	regular	NA	ImbČYb	ImbČYbd
ɪ n t ɚ s ˈi d	ɪ n t ɚ s ˈi d ə d	20	intercede	interceded	∅ -> ɪ d	regular	NA	IntŐsČid	IntŐsČidŤd
dʒ ˈɪ g	dʒ ˈɪ g d	20	jig	jigged	∅ -> d	regular	NA	JČIg	JČIgd
l ˈæ k ɚ	l ˈæ k ɚ d	20	lacquer	lacquered	∅ -> d	regular	NA	lČQkŐ	lČQkŐd
l ˈa ð ɚ	l ˈa ð ɚ d	20	lather	lathered	∅ -> d	regular	NA	lČaDŐ	lČaDŐd
m ɪ s k ə n s ˈi v	m ɪ s k ə n s ˈi v d	20	misconceive	misconceived	∅ -> d	regular	NA	mIskŤnsČiv	mIskŤnsČivd
n a n p l ˈʌ s	n a n p l ˈʌ s t	20	nonplus	nonplussed	∅ -> t	regular	NA	nanplČĂs	nanplČĂst
ə f ˈɪ ʃ i eɪ t	ə f ˈɪ ʃ i eɪ t ə d	20	officiate	officiated	∅ -> ɪ d	regular	NA	ŤfČISiet	ŤfČISietŤd
ˈoʊ ɹ n ə m ɛ n t	ˈoʊ ɹ n ə m ɛ n t ə d	20	ornament	ornamented	∅ -> ɪ d	regular	NA	ČornŤmEnt	ČornŤmEntŤd
ˈoʊ ɹ f ə n	ˈoʊ ɹ f ə n d	20	orphan	orphaned	∅ -> d	regular	NA	ČorfŤn	ČorfŤnd
p ˈeɪ ɹ i	p ˈeɪ ɹ i d	20	parry	parried	∅ -> d	regular	NA	pČeri	pČerid
p a ɹ t ˈɪ ʃ ə n	p a ɹ t ˈɪ ʃ ə n d	20	partition	partitioned	∅ -> d	regular	NA	partČISŤn	partČISŤnd
p ˈɪ k n ɪ k	p ˈɪ k n ɪ k t	20	picnic	picnicked	∅ -> t	regular	NA	pČIknIk	pČIknIkt
p l ˈeɪ n	p l ˈeɪ n d	20	plane	planed	∅ -> d	regular	NA	plČen	plČend
p ɹ i ə ɹ ˈeɪ n dʒ	p ɹ i ə ɹ ˈeɪ n dʒ d	20	prearrange	prearranged	∅ -> d	regular	NA	priŤrČenJ	priŤrČenJd
p ɚ l ˈɔɪ n	p ɚ l ˈɔɪ n d	20	purloin	purloined	∅ -> d	regular	NA	pŐlČOn	pŐlČOnd
ɹ ˈæ s p	ɹ ˈæ s p t	20	rasp	rasped	∅ -> t	regular	NA	rČQsp	rČQspt
ɹ i l ˈoʊ d	ɹ i l ˈoʊ d ə d	20	reload	reloaded	∅ -> ɪ d	regular	NA	rilČod	rilČodŤd
ɹ ɪ s ˈɪ n d	ɹ ɪ s ˈɪ n d ə d	20	rescind	rescinded	∅ -> ɪ d	regular	NA	rIsČInd	rIsČIndŤd
ɹ i s ˈɛ t ə l	ɹ i s ˈɛ t ə l d	20	resettle	resettled	∅ -> d	regular	NA	risČEtŤl	risČEtŤld
ɹ ˈi t eɪ l	ɹ ˈi t eɪ l d	20	retail	retailed	∅ -> d	regular	NA	rČitel	rČiteld
ɹ ˈɪ f ə l	ɹ ˈɪ f ə l d	20	riffle	riffled	∅ -> d	regular	NA	rČIfŤl	rČIfŤld
ɹ ˈʌ t	ɹ ˈʌ t ə d	20	rut	rutted	∅ -> ɪ d	regular	NA	rČĂt	rČĂtŤd
s ˈæ ŋ k t ɪ f aɪ	s ˈæ ŋ k t ɪ f aɪ d	20	sanctify	sanctified	∅ -> d	regular	NA	sČQNktIfY	sČQNktIfYd
s k ˈʌ l p tʃ ɚ	s k ˈʌ l p tʃ ɚ d	20	sculpture	sculptured	∅ -> d	regular	NA	skČĂlpCŐ	skČĂlpCŐd
ʃ ˈu	ʃ ˈu d	20	shoe	shod	∅ -> d	regular	NA	SČu	SČud
s ˈaɪ d t ɹ æ k	s ˈaɪ d t ɹ æ k t	20	sidetrack	sidetracked	∅ -> t	regular	NA	sČYdtrQk	sČYdtrQkt
s p ˈa ɹ	s p ˈa ɹ d	20	spar	sparred	∅ -> d	regular	NA	spČar	spČard
s t ˈɛ n s ə l	s t ˈɛ n s ə l d	20	stencil	stencilled	∅ -> d	regular	NA	stČEnsŤl	stČEnsŤld
s t ɹ ˈi m l aɪ n	s t ɹ ˈi m l aɪ n d	20	streamline	streamlined	∅ -> d	regular	NA	strČimlYn	strČimlYnd
t ˈa ɹ	t ˈa ɹ d	20	tar	tarred	∅ -> d	regular	NA	tČar	tČard
t w ˈi k	t w ˈi k t	20	tweak	tweaked	∅ -> t	regular	NA	twČik	twČikt
ˈʌ n d ɚ s k oʊ ɹ	ˈʌ n d ɚ s k oʊ ɹ d	20	underscore	underscored	∅ -> d	regular	NA	ČĂndŐskor	ČĂndŐskord
ˈɚ b ə n aɪ z	ˈɚ b ə n aɪ z d	20	urbanize	urbanized	∅ -> d	regular	NA	ČŐbŤnYz	ČŐbŤnYzd
v ˈæ k j u m	v ˈæ k j u m d	20	vacuum	vacuumed	∅ -> d	regular	NA	vČQkjum	vČQkjumd
w ˈa l ə p	w ˈa l ə p t	20	wallop	walloped	∅ -> t	regular	NA	wČalŤp	wČalŤpt
ɹ ˈi ð	ɹ ˈi ð d	20	wreathe	wreathed	∅ -> d	regular	NA	rČiD	rČiDd
ə b d ˈʌ k t	ə b d ˈʌ k t ə d	19	abduct	abducted	∅ -> ɪ d	regular	NA	ŤbdČĂkt	ŤbdČĂktŤd
b ɪ t ˈoʊ k ə n	b ɪ t ˈoʊ k ə n d	19	betoken	betokened	∅ -> d	regular	NA	bItČokŤn	bItČokŤnd
k ˈæ p t ɪ n	k ˈæ p t ɪ n d	19	captain	captained	∅ -> d	regular	NA	kČQptIn	kČQptInd
k ə k ˈu n	k ə k ˈu n d	19	cocoon	cocooned	∅ -> d	regular	NA	kŤkČun	kŤkČund
k ˈa d ɪ f aɪ	k ˈa d ɪ f aɪ d	19	codify	codified	∅ -> d	regular	NA	kČadIfY	kČadIfYd
d ˈæ m	d ˈæ m d	19	dam	dammed	∅ -> d	regular	NA	dČQm	dČQmd
d ˈɪ g n ɪ f aɪ	d ˈɪ g n ɪ f aɪ d	19	dignify	dignified	∅ -> d	regular	NA	dČIgnIfY	dČIgnIfYd
d ɪ s ɪ m b ˈa ɹ k	d ɪ s ɪ m b ˈa ɹ k t	19	disembark	disembarked	∅ -> t	regular	NA	dIsImbČark	dIsImbČarkt
d ˈoʊ p	d ˈoʊ p t	19	dope	doped	∅ -> t	regular	NA	dČop	dČopt
ɪ n θ ˈu z	ɪ n θ ˈu z d	19	enthuse	enthused	∅ -> d	regular	NA	InTČuz	InTČuzd
ɪ v ˈɪ n s	ɪ v ˈɪ n s t	19	evince	evinced	∅ -> t	regular	NA	IvČIns	IvČInst
ɪ k s k ɹ ˈi t	ɪ k s k ɹ ˈi t ə d	19	excrete	excreted	∅ -> ɪ d	regular	NA	IkskrČit	IkskrČitŤd
f ɹ ˈa l ɪ k	f ɹ ˈa l ɪ k t	19	frolic	frolicked	∅ -> t	regular	NA	frČalIk	frČalIkt
f ˈʌ n ə l	f ˈʌ n ə l d	19	funnel	funnelled	∅ -> d	regular	NA	fČĂnŤl	fČĂnŤld
g ˈa g ə l	g ˈa g ə l d	19	goggle	goggled	∅ -> d	regular	NA	gČagŤl	gČagŤld
g ˈoʊ ɹ	g ˈoʊ ɹ d	19	gore	gored	∅ -> d	regular	NA	gČor	gČord
g ɹ ˈeɪ s	g ɹ ˈeɪ s t	19	grace	graced	∅ -> t	regular	NA	grČes	grČest
g ʌ f ˈɔ	g ʌ f ˈɔ d	19	guffaw	guffawed	∅ -> d	regular	NA	gĂfČ	gĂfČd
h ˈa ɹ m ə n aɪ z	h ˈa ɹ m ə n aɪ z d	19	harmonize	harmonized	∅ -> d	regular	NA	hČarmŤnYz	hČarmŤnYzd
ˈɪ n k ʌ l k eɪ t	ˈɪ n k ʌ l k eɪ t ə d	19	inculcate	inculcated	∅ -> ɪ d	regular	NA	ČInkĂlket	ČInkĂlketŤd
m ɛ t ə m ˈoʊ ɹ f oʊ z	m ɛ t ə m ˈoʊ ɹ f oʊ z d	19	metamorphose	metamorphosed	∅ -> d	regular	NA	mEtŤmČorfoz	mEtŤmČorfozd
m ɪ s d i ɹ ˈɛ k t	m ɪ s d i ɹ ˈɛ k t ə d	19	misdirect	misdirected	∅ -> ɪ d	regular	NA	mIsdirČEkt	mIsdirČEktŤd
ˈaʊ t	ˈaʊ t ə d	19	out	outed	∅ -> ɪ d	regular	NA	ČWt	ČWtŤd
oʊ v ɚ ɹ ɪ k s p ˈoʊ z	oʊ v ɚ ɹ ɪ k s p ˈoʊ z d	19	overexpose	overexposed	∅ -> d	regular	NA	ovŐrIkspČoz	ovŐrIkspČozd
oʊ v ɚ ʃ ˈu t	oʊ v ɚ ʃ ˈa t	19	overshoot	overshot	u -> a	irregular	NA	ovŐSČut	ovŐSČat
p ˈeɪ l	p ˈeɪ l d	19	pale	paled	∅ -> d	regular	NA	pČel	pČeld
p ˈa ɹ t n ɚ	p ˈa ɹ t n ɚ d	19	partner	partnered	∅ -> d	regular	NA	pČartnŐ	pČartnŐd
p ə l ˈɪ t ɪ s aɪ z	p ə l ˈɪ t ɪ s aɪ z d	19	politicize	politicized	∅ -> d	regular	NA	pŤlČItIsYz	pŤlČItIsYzd
p ˈʌ l p	p ˈʌ l p t	19	pulp	pulped	∅ -> t	regular	NA	pČĂlp	pČĂlpt
ɹ æ m p ˈeɪ dʒ	ɹ æ m p ˈeɪ dʒ d	19	rampage	rampaged	∅ -> d	regular	NA	rQmpČeJ	rQmpČeJd
ɹ ɪ b ˈʌ f	ɹ ɪ b ˈʌ f t	19	rebuff	rebuffed	∅ -> t	regular	NA	rIbČĂf	rIbČĂft
ɹ ɪ k ˈu p ə ɹ eɪ t	ɹ ɪ k ˈu p ə ɹ eɪ t ə d	19	recuperate	recuperated	∅ -> ɪ d	regular	NA	rIkČupŤret	rIkČupŤretŤd
ɹ ˈeɪ n	ɹ ˈeɪ n d	19	rein	reined	∅ -> d	regular	NA	rČen	rČend
ɹ ɪ p ɹ ˈi v	ɹ ɪ p ɹ ˈi v d	19	reprieve	reprieved	∅ -> d	regular	NA	rIprČiv	rIprČivd
ɹ ɪ v ˈaɪ l	ɹ ɪ v ˈaɪ l d	19	revile	reviled	∅ -> d	regular	NA	rIvČYl	rIvČYld
ɹ ˈaɪ m	ɹ ˈaɪ m d	19	rhyme	rhymed	∅ -> d	regular	NA	rČYm	rČYmd
s ˈæ v ɪ dʒ	s ˈæ v ɪ dʒ d	19	savage	savaged	∅ -> d	regular	NA	sČQvIJ	sČQvIJd
ʃ ˈʌ t ə l	ʃ ˈʌ t ə l d	19	shuttle	shuttled	∅ -> d	regular	NA	SČĂtŤl	SČĂtŤld
s ˈaɪ d s t ɛ p	s ˈaɪ d s t ɛ p t	19	sidestep	sidestepped	∅ -> t	regular	NA	sČYdstEp	sČYdstEpt
s k ˈɪ m p	s k ˈɪ m p t	19	skimp	skimped	∅ -> t	regular	NA	skČImp	skČImpt
s l ˈu	s l ˈu d	19	slew	slewed	∅ -> d	regular	NA	slČu	slČud
s n ˈeɪ ɹ	s n ˈeɪ ɹ d	19	snare	snared	∅ -> d	regular	NA	snČer	snČerd
s ˈoʊ l dʒ ɚ	s ˈoʊ l dʒ ɚ d	19	soldier	soldiered	∅ -> d	regular	NA	sČolJŐ	sČolJŐd
s ˈʌ b dʒ ə g eɪ t	s ˈʌ b dʒ ə g eɪ t ə d	19	subjugate	subjugated	∅ -> ɪ d	regular	NA	sČĂbJŤget	sČĂbJŤgetŤd
s ˈʌ n	s ˈʌ n d	19	sun	sunned	∅ -> d	regular	NA	sČĂn	sČĂnd
t ˈɛ l ɪ g ɹ æ f	t ˈɛ l ɪ g ɹ æ f t	19	telegraph	telegraphed	∅ -> t	regular	NA	tČElIgrQf	tČElIgrQft
t ˈɛ n ə n t	t ˈɛ n ə n t ə d	19	tenant	tenanted	∅ -> ɪ d	regular	NA	tČEnŤnt	tČEnŤntŤd
t ˈu t	t ˈu t ə d	19	toot	tooted	∅ -> ɪ d	regular	NA	tČut	tČutŤd
ʌ n d ɚ s t ˈeɪ t	ʌ n d ɚ s t ˈeɪ t ə d	19	understate	understated	∅ -> ɪ d	regular	NA	ĂndŐstČet	ĂndŐstČetŤd
ə m ˈi l j ə ɹ eɪ t	ə m ˈi l j ə ɹ eɪ t ə d	18	ameliorate	ameliorated	∅ -> ɪ d	regular	NA	ŤmČiljŤret	ŤmČiljŤretŤd
ˈæ t ɹ ə f i	ˈæ t ɹ ə f i d	18	atrophy	atrophied	∅ -> d	regular	NA	ČQtrŤfi	ČQtrŤfid
ɔ d ˈɪ ʃ ə n	ɔ d ˈɪ ʃ ə n d	18	audition	auditioned	∅ -> d	regular	NA	dČISŤn	dČISŤnd
b ə l ˈu n	b ə l ˈu n d	18	balloon	ballooned	∅ -> d	regular	NA	bŤlČun	bŤlČund
b ɪ h ˈɛ d	b ɪ h ˈɛ d ə d	18	behead	beheaded	∅ -> ɪ d	regular	NA	bIhČEd	bIhČEdŤd
b l ˈʌ d	b l ˈʌ d ə d	18	blood	blooded	∅ -> ɪ d	regular	NA	blČĂd	blČĂdŤd
b ɹ ˈʊ k	b ɹ ˈʊ k t	18	brook	brooked	∅ -> t	regular	NA	brČUk	brČUkt
k ˈæ p s aɪ z	k ˈæ p s aɪ z d	18	capsize	capsized	∅ -> d	regular	NA	kČQpsYz	kČQpsYzd
k ə ɹ ˈi n	k ə ɹ ˈi n d	18	careen	careened	∅ -> d	regular	NA	kŤrČin	kŤrČind
tʃ ˈɚ p	tʃ ˈɚ p t	18	chirp	chirped	∅ -> t	regular	NA	CČŐp	CČŐpt
tʃ ˈɪ z ə l	tʃ ˈɪ z ə l d	18	chisel	chiselled	∅ -> d	regular	NA	CČIzŤl	CČIzŤld
k ˈa d ə l	k ˈa d ə l d	18	coddle	coddled	∅ -> d	regular	NA	kČadŤl	kČadŤld
k ɹ ˈɪ m p	k ɹ ˈɪ m p t	18	crimp	crimped	∅ -> t	regular	NA	krČImp	krČImpt
d ˈæ p ə l	d ˈæ p ə l d	18	dapple	dappled	∅ -> d	regular	NA	dČQpŤl	dČQpŤld
d ɪ f ˈeɪ s	d ɪ f ˈeɪ s t	18	deface	defaced	∅ -> t	regular	NA	dIfČes	dIfČest
d ˈɛ f ə k eɪ t	d ˈɛ f ə k eɪ t ə d	18	defecate	defecated	∅ -> ɪ d	regular	NA	dČEfŤket	dČEfŤketŤd
d ɪ s ɪ m b ˈaʊ ə l	d ɪ s ɪ m b ˈaʊ ə l d	18	disembowel	disembowelled	∅ -> d	regular	NA	dIsImbČWŤl	dIsImbČWŤld
d ʌ b ə l k ɹ ˈɔ s	d ʌ b ə l k ɹ ˈɔ s t	18	double-cross	double-crossed	∅ -> t	regular	NA	dĂbŤlkrČs	dĂbŤlkrČst
ɪ n k ˈʌ m b ɚ	ɪ n k ˈʌ m b ɚ d	18	encumber	encumbered	∅ -> d	regular	NA	InkČĂmbŐ	InkČĂmbŐd
ɪ n ˈoʊ b ə l	ɪ n ˈoʊ b ə l d	18	ennoble	ennobled	∅ -> d	regular	NA	InČobŤl	InČobŤld
ɪ n ˈʌ n s i eɪ t	ɪ n ˈʌ n s i eɪ t ə d	18	enunciate	enunciated	∅ -> ɪ d	regular	NA	InČĂnsiet	InČĂnsietŤd
f ə m ˈɪ l j ə ɹ aɪ z	f ə m ˈɪ l j ə ɹ aɪ z d	18	familiarize	familiarized	∅ -> d	regular	NA	fŤmČIljŤrYz	fŤmČIljŤrYzd
f l ˈʌ f	f l ˈʌ f t	18	fluff	fluffed	∅ -> t	regular	NA	flČĂf	flČĂft
n ˈæ ʃ	n ˈæ ʃ t	18	gnash	gnashed	∅ -> t	regular	NA	nČQS	nČQSt
g ɹ ˈu v	g ɹ ˈu v d	18	groove	grooved	∅ -> d	regular	NA	grČuv	grČuvd
h ə l ˈu s ɪ n eɪ t	h ə l ˈu s ɪ n eɪ t ə d	18	hallucinate	hallucinated	∅ -> ɪ d	regular	NA	hŤlČusInet	hŤlČusInetŤd
h j ˈu	h j ˈu d	18	hew	hewed	∅ -> d	regular	NA	hjČu	hjČud
h ˈɪ k ʌ p	h ˈɪ k ʌ p t	18	hiccup	hiccupped	∅ -> t	regular	NA	hČIkĂp	hČIkĂpt
ɪ n d ˈa k t ɹ ɪ n eɪ t	ɪ n d ˈa k t ɹ ɪ n eɪ t ə d	18	indoctrinate	indoctrinated	∅ -> ɪ d	regular	NA	IndČaktrInet	IndČaktrInetŤd
l ˈæ n s	l ˈæ n s t	18	lance	lanced	∅ -> t	regular	NA	lČQns	lČQnst
l i ˈeɪ z	l i ˈeɪ z d	18	liaise	liaised	∅ -> d	regular	NA	liČez	liČezd
m ˈæ n h æ n d ə l	m ˈæ n h æ n d ə l d	18	manhandle	manhandled	∅ -> d	regular	NA	mČQnhQndŤl	mČQnhQndŤld
m j ˈu	m j ˈu d	18	mew	mewed	∅ -> d	regular	NA	mjČu	mjČud
m ˈu tʃ	m ˈu tʃ t	18	mooch	mooched	∅ -> t	regular	NA	mČuC	mČuCt
m ˈu t	m ˈu t ə d	18	moot	mooted	∅ -> ɪ d	regular	NA	mČut	mČutŤd
ˈa b v i eɪ t	ˈa b v i eɪ t ə d	18	obviate	obviated	∅ -> ɪ d	regular	NA	Čabviet	ČabvietŤd
aʊ t l ˈæ s t	aʊ t l ˈæ s t ə d	18	outlast	outlasted	∅ -> ɪ d	regular	NA	WtlČQst	WtlČQstŤd
p ˈeɪ ɹ ə d i	p ˈeɪ ɹ ə d i d	18	parody	parodied	∅ -> d	regular	NA	pČerŤdi	pČerŤdid
p ˈi l	p ˈi l d	18	peal	pealed	∅ -> d	regular	NA	pČil	pČild
p ˈɪ l ɪ dʒ	p ˈɪ l ɪ dʒ d	18	pillage	pillaged	∅ -> d	regular	NA	pČIlIJ	pČIlIJd
p ɹ i ɪ g z ˈɪ s t	p ɹ i ɪ g z ˈɪ s t ə d	18	pre-exist	pre-existed	∅ -> ɪ d	regular	NA	priIgzČIst	priIgzČIstŤd
k w ˈɪ b ə l	k w ˈɪ b ə l d	18	quibble	quibbled	∅ -> d	regular	NA	kwČIbŤl	kwČIbŤld
k w ˈaɪ ə t	k w ˈaɪ ə t ə d	18	quiet	quieted	∅ -> ɪ d	regular	NA	kwČYŤt	kwČYŤtŤd
ɹ ˈæ ŋ k ə l	ɹ ˈæ ŋ k ə l d	18	rankle	rankled	∅ -> d	regular	NA	rČQNkŤl	rČQNkŤld
ɹ i ə dʒ ˈʌ s t	ɹ i ə dʒ ˈʌ s t ə d	18	readjust	readjusted	∅ -> ɪ d	regular	NA	riŤJČĂst	riŤJČĂstŤd
ɹ i tʃ ˈa ɹ dʒ	ɹ i tʃ ˈa ɹ dʒ d	18	recharge	recharged	∅ -> d	regular	NA	riCČarJ	riCČarJd
ɹ i ɪ m b ˈɚ s	ɹ i ɪ m b ˈɚ s t	18	reimburse	reimbursed	∅ -> t	regular	NA	riImbČŐs	riImbČŐst
ɹ ˈɪ dʒ	ɹ ˈɪ dʒ d	18	ridge	ridged	∅ -> d	regular	NA	rČIJ	rČIJd
ɹ oʊ m ˈæ n t ɪ s aɪ z	ɹ oʊ m ˈæ n t ɪ s aɪ z d	18	romanticize	romanticized	∅ -> d	regular	NA	romČQntIsYz	romČQntIsYzd
s k ˈaʊ t	s k ˈaʊ t ə d	18	scout	scouted	∅ -> ɪ d	regular	NA	skČWt	skČWtŤd
ʃ ˈɚ k	ʃ ˈɚ k t	18	shirk	shirked	∅ -> t	regular	NA	SČŐk	SČŐkt
s ˈɪ v	s ˈɪ v d	18	sieve	sieved	∅ -> d	regular	NA	sČIv	sČIvd
s ˈɪ n dʒ	s ˈɪ n dʒ d	18	singe	singed	∅ -> d	regular	NA	sČInJ	sČInJd
s l ˈa b ɚ	s l ˈa b ɚ d	18	slobber	slobbered	∅ -> d	regular	NA	slČabŐ	slČabŐd
s ˈoʊ p	s ˈoʊ p t	18	soap	soaped	∅ -> t	regular	NA	sČop	sČopt
s p ˈʌ t ɚ	s p ˈʌ t ɚ d	18	sputter	sputtered	∅ -> d	regular	NA	spČĂtŐ	spČĂtŐd
s t æ m p ˈi d	s t æ m p ˈi d ə d	18	stampede	stampeded	∅ -> ɪ d	regular	NA	stQmpČid	stQmpČidŤd
t ˈæ l i	t ˈæ l i d	18	tally	tallied	∅ -> d	regular	NA	tČQli	tČQlid
t ˈɪ t ɪ l eɪ t	t ˈɪ t ɪ l eɪ t ə d	18	titillate	titillated	∅ -> ɪ d	regular	NA	tČItIlet	tČItIletŤd
t ɹ ˈæ f ɪ k	t ɹ ˈæ f ɪ k t	18	traffic	trafficked	∅ -> t	regular	NA	trČQfIk	trČQfIkt
t ɹ æ n s g ɹ ˈɛ s	t ɹ æ n s g ɹ ˈɛ s t	18	transgress	transgressed	∅ -> t	regular	NA	trQnsgrČEs	trQnsgrČEst
ə ɹ ˈeɪ	ə ɹ ˈeɪ d	17	array	arrayed	∅ -> d	regular	NA	ŤrČe	ŤrČed
b ˈeɪ ɹ ɪ k eɪ d	b ˈeɪ ɹ ɪ k eɪ d ə d	17	barricade	barricaded	∅ -> ɪ d	regular	NA	bČerIked	bČerIkedŤd
b ɹ ˈæ k ɪ t	b ɹ ˈæ k ɪ t ə d	17	bracket	bracketed	∅ -> ɪ d	regular	NA	brČQkIt	brČQkItŤd
b ɹ ˈeɪ	b ɹ ˈeɪ d	17	bray	brayed	∅ -> d	regular	NA	brČe	brČed
b ˈʌ d	b ˈʌ d ə d	17	bud	budded	∅ -> ɪ d	regular	NA	bČĂd	bČĂdŤd
b ˈɚ g ə l	b ˈɚ g ə l d	17	burgle	burgled	∅ -> d	regular	NA	bČŐgŤl	bČŐgŤld
s ɚ k ə m v ˈɛ n t	s ɚ k ə m v ˈɛ n t ə d	17	circumvent	circumvented	∅ -> ɪ d	regular	NA	sŐkŤmvČEnt	sŐkŤmvČEntŤd
k ə l ˈeɪ t	k ə l ˈeɪ t ə d	17	collate	collated	∅ -> ɪ d	regular	NA	kŤlČet	kŤlČetŤd
k ˈa p	k ˈa p t	17	cop	copped	∅ -> t	regular	NA	kČap	kČapt
k ˈoʊ ɹ d	k ˈoʊ ɹ d ə d	17	cord	corded	∅ -> ɪ d	regular	NA	kČord	kČordŤd
d ɪ k l ˈeɪ m	d ɪ k l ˈeɪ m d	17	declaim	declaimed	∅ -> d	regular	NA	dIklČem	dIklČemd
d ɪ n ˈu d	d ɪ n ˈu d ə d	17	denude	denuded	∅ -> ɪ d	regular	NA	dInČud	dInČudŤd
d aɪ g ɹ ˈɛ s	d aɪ g ɹ ˈɛ s t	17	digress	digressed	∅ -> t	regular	NA	dYgrČEs	dYgrČEst
d ɪ s d ˈeɪ n	d ɪ s d ˈeɪ n d	17	disdain	disdained	∅ -> d	regular	NA	dIsdČen	dIsdČend
d ɪ s ˈɛ m b ə l	d ɪ s ˈɛ m b ə l d	17	dissemble	dissembled	∅ -> d	regular	NA	dIsČEmbŤl	dIsČEmbŤld
d ˈa f	d ˈa f t	17	doff	doffed	∅ -> t	regular	NA	dČaf	dČaft
